#Date/Time of Update: 2017-06-06 8:15:27 AM,#Game Date,#Game Time,#Away Team ID,#Away Team Abbr.,#Away Team City,#Away Team Name,#Home Team ID,#Home Team Abbr.,#Home Team City,#Home Team Name,#Location,analyzed
,2017-06-06,7:05PM,132,PIT,Pittsburgh,Pirates,111,BAL,Baltimore,Orioles,Oriole Park at Camden Yards,0
,2017-06-06,7:05PM,113,BOS,Boston,Red Sox,114,NYY,New York,Yankees,Yankee Stadium,0
,2017-06-06,7:10PM,133,STL,St. Louis,Cardinals,135,CIN,Cincinnati,Reds,Great American Ball Park,0
,2017-06-06,7:10PM,119,CWS,Chicago,White Sox,115,TB,Tampa Bay,Rays,Tropicana Field,0
,2017-06-06,7:10PM,124,LAA,Los Angeles,Angels,117,DET,Detroit,Tigers,Comerica Park,0
,2017-06-06,7:35PM,129,PHI,Philadelphia,Phillies,130,ATL,Atlanta,Braves,SunTrust Park,0
,2017-06-06,7:40PM,136,SF,San Francisco,Giants,134,MIL,Milwaukee,Brewers,Miller Park,0
,2017-06-06,8:05PM,128,MIA,Miami,Marlins,131,CHC,Chicago,Cubs,Wrigley Field,0
,2017-06-06,8:05PM,127,NYM,New York,Mets,121,TEX,Texas,Rangers,Globe Life Park,0
,2017-06-06,8:15PM,122,HOU,Houston,Astros,118,KC,Kansas City,Royals,Kauffman Stadium,0
,2017-06-06,8:40PM,116,CLE,Cleveland,Indians,138,COL,Colorado,Rockies,Coors Field,0
,2017-06-06,9:40PM,139,SD,San Diego,Padres,140,ARI,Arizona,Diamondbacks,Chase Field,0
,2017-06-06,10:05PM,112,TOR,Toronto,Blue Jays,125,OAK,Oakland,Athletics,Oakland Coliseum,0
,2017-06-06,10:10PM,126,WAS,Washington,Nationals,137,LAD,Los Angeles,Dodgers,Dodger Stadium,0
,2017-06-06,10:10PM,120,MIN,Minnesota,Twins,123,SEA,Seattle,Mariners,Safeco Field,0
